Item,Price,Source,Page,Section
"Blank Book, Lockable",varies,Auroras,67,Scribes’ Desk
Book Safe,varies,Auroras,68,Scribes’ Desk
Book Case,275,Auroras,68,Scribes’ Desk
Ink,8,Auroras,68,Scribes’ Desk
"Ink, Case (24 vials)",175,Auroras,68,Scribes’ Desk
Map-Making Kit,35,Auroras,68,Scribes’ Desk
"Parchment, Gridded (50 sheets)",45,Auroras,68,Scribes’ Desk
"Mapcase, Maple",15,Auroras,69,Scribes’ Desk
"Mapcase, Oak",4,Auroras,69,Scribes’ Desk
"Quill Pen, Case of 50",2,Auroras,69,Scribes’ Desk
"Metal Nibs, 5",12,Auroras,69,Scribes’ Desk
"Pen Set, Deluxe (32-nib kit, 14 types)",70,Auroras,69,Scribes’ Desk
Scrollcase,5,Auroras,70,Scribes’ Desk
Writing Implements & Paints,varies,Auroras,70,Scribes’ Desk
Storage Items,varies,Auroras,71,Storage Items
"Block & Tackle, 100 lb",3,Auroras,73,General Hardware
"Block & Tackle, 200 lb",7,Auroras,73,General Hardware
"Block & Tackle, 500 lb",14,Auroras,73,General Hardware
"Block & Tackle, 1000 lb",25,Auroras,73,General Hardware
"Block & Tackle, two-pulley ton",35,Auroras,73,General Hardware
"Chain, per 25 ft.",varies,Auroras,73,General Hardware
"Lock, Mithral",100,Auroras,73,General Hardware
"Lock, Adamantine",200,Auroras,73,General Hardware
"Paintbrush, 4” wide",5,Auroras,73,General Hardware
"Paintbrush, Artist’s",3,Auroras,73,General Hardware
"Rope, Hemp, per 50 ft.",varies,Auroras,74,General Hardware
"Rope, Silk, per 50 ft.",varies,Auroras,74,General Hardware
"Stocks, Head/Hand, Single",6,Auroras,74,General Hardware
"Stocks, Head/Hand, Double",10,Auroras,74,General Hardware
"Stocks, Ankle, Single",3,Auroras,74,General Hardware
"Stocks, Ankle, Double",7,Auroras,74,General Hardware
Sharpened Bench,8,Auroras,74,General Hardware
Shackle Set,10,Auroras,74,General Hardware
Tally Stick,10,Auroras,74,General Hardware
Tailor Supplies,varies,Auroras,75,Tailors’ Corner
"Bustles, Side",5,Auroras,77,Clothes and Shoes
"Bustles, Rear",9,Auroras,77,Clothes and Shoes
"Fullcloth, Gnome",1,Auroras,77,Clothes and Shoes
"Fullcloth, Halfling",3,Auroras,77,Clothes and Shoes
"Fullcloth, Elf",5,Auroras,77,Clothes and Shoes
"Fullcloth, Human",8,Auroras,77,Clothes and Shoes
"Hosiery, Gnome",0.2,Auroras,77,Clothes and Shoes
"Hosiery, Halfling",0.4,Auroras,77,Clothes and Shoes
"Hosiery, Elf",5,Auroras,77,Clothes and Shoes
"Hosiery, Human",6,Auroras,77,Clothes and Shoes
"Hose Supporters, Horse Leather",2,Auroras,78,Clothes and Shoes
"Loincloth, Gnome",0.3,Auroras,78,Clothes and Shoes
"Loincloth, Halfling",0.4,Auroras,78,Clothes and Shoes
"Loincloth, Elf",0.5,Auroras,78,Clothes and Shoes
"Loincloth, Human",0.6,Auroras,78,Clothes and Shoes
"Lounging Robes, Demihuman",5,Auroras,78,Clothes and Shoes
"Lounging Robes, Human",8,Auroras,78,Clothes and Shoes
"Nightshirt, Demihuman",4,Auroras,78,Clothes and Shoes
"Nightshirt, Human",6,Auroras,78,Clothes and Shoes
"Money Belt, 40 coins",4,Auroras,79,Clothes and Shoes
"Stockings, Demihuman",1,Auroras,79,Clothes and Shoes
"Stockings, Human",2,Auroras,79,Clothes and Shoes
"Breeches, Sack Cloth, Elf",0.5,Auroras,79,Clothes and Shoes
"Breeches, Linen, Elf",1,Auroras,79,Clothes and Shoes
"Breeches, Woolen, Elf",2,Auroras,79,Clothes and Shoes
"Breeches, Velvet, Elf",4,Auroras,79,Clothes and Shoes
"Breeches, Silk, Elf",8,Auroras,79,Clothes and Shoes
"Breeches, Halfling/Gnome",Elf * .5,Auroras,79,Clothes and Shoes
"Breeches, Human",Elf * 1.5,Auroras,79,Clothes and Shoes
"Cannons, Gnome",5,Auroras,79,Clothes and Shoes
"Cannons, Halfling",6,Auroras,79,Clothes and Shoes
"Cannons, Elf",8,Auroras,79,Clothes and Shoes
"Cannons, Human",10,Auroras,79,Clothes and Shoes
"Chemise, Sackcloth, Elf",0.8,Auroras,80,Clothes and Shoes
"Chemise, Linen, Elf",2,Auroras,80,Clothes and Shoes
"Chemise, Maztican cotton, Elf",3,Auroras,80,Clothes and Shoes
"Chemise, Silk, Elf",6,Auroras,80,Clothes and Shoes
"Codpiece, Flat",0.1,Auroras,80,Clothes and Shoes
"Codpiece, Bag",1,Auroras,80,Clothes and Shoes
"Cote, Gnome",3,Auroras,80,Clothes and Shoes
"Cote, Halfling",4,Auroras,80,Clothes and Shoes
"Cote, Elf",6,Auroras,80,Clothes and Shoes
"Cote, Human",7,Auroras,80,Clothes and Shoes
"Doublet, Gnome",0.3,Auroras,80,Clothes and Shoes
"Doublet, Halfling",0.4,Auroras,80,Clothes and Shoes
"Doublet, Elf",0.6,Auroras,80,Clothes and Shoes
"Doublet, Human",1,Auroras,80,Clothes and Shoes
"Dress, Common, Gnome",0.07,Auroras,81,Clothes and Shoes
"Dress, Common, Halfling",0.08,Auroras,81,Clothes and Shoes
"Dress, Common, Elf",0.1,Auroras,81,Clothes and Shoes
"Dress, Common, Human",0.2,Auroras,81,Clothes and Shoes
"Gown, Silk, Gnome",5,Auroras,81,Clothes and Shoes
"Gown, Silk, Halfling",7,Auroras,81,Clothes and Shoes
"Gown, Silk, Elf",10,Auroras,81,Clothes and Shoes
"Gown, Silk, Human",15,Auroras,81,Clothes and Shoes
Girdle,6,Auroras,81,Clothes and Shoes
"Belt, Leather Weapons",0.7,Auroras,81,Clothes and Shoes
"Belt, Elegant Gold-braid",25,Auroras,81,Clothes and Shoes
"Belt, Canvas",0.2,Auroras,81,Clothes and Shoes
"Belt, Leather",0.3,Auroras,81,Clothes and Shoes
"Cape, Half",0.4,Auroras,82,Clothes and Shoes
Cape,0.7,Auroras,82,Clothes and Shoes
Hat/Cap,0.1,Auroras,82,Clothes and Shoes
Turban/Beret,0.3,Auroras,82,Clothes and Shoes
"Cloak, Formal",.8-1.5,Auroras,82,Clothes and Shoes
"Cloak, Full, Cold Weather",2,Auroras,82,Clothes and Shoes
"Cloak, Fur",50,Auroras,82,Clothes and Shoes
"Cloak, Special Order",150,Auroras,82,Clothes and Shoes
"Gloves, Linen",5,Auroras,83,Clothes and Shoes
"Gloves, Silk",15,Auroras,83,Clothes and Shoes
"Gloves, Working (Canvas/Leather)",1,Auroras,83,Clothes and Shoes
Gauntlets,2,Auroras,83,Clothes and Shoes
"Gloves, Fur-lined",4,Auroras,83,Clothes and Shoes
Mittens,3,Auroras,83,Clothes and Shoes
"Gloves, Archery",4-6,Auroras,83,Clothes and Shoes
"Mittens, Evermeet",75,Auroras,83,Clothes and Shoes
"Hood, Wool/Linen",0.2,Auroras,83,Clothes and Shoes
"Hood, Fur",1,Auroras,83,Clothes and Shoes
"Jerkin, Linen",0.8,Auroras,83,Clothes and Shoes
"Jerkin, Quilted wool",1,Auroras,83,Clothes and Shoes
"Jerkin, Silk",80,Auroras,83,Clothes and Shoes
"Jerkin, Leather",10,Auroras,83,Clothes and Shoes
"Jerkin, Maztican cotton",30,Auroras,83,Clothes and Shoes
"Purse, Linen",0.3,Auroras,83,Clothes and Shoes
"Purse, Leather",2,Auroras,83,Clothes and Shoes
"Purse, Hidden Pouch",5,Auroras,83,Clothes and Shoes
"Purse, Wire Mesh",7,Auroras,83,Clothes and Shoes
"Robe, Wool/Linen",0.9,Auroras,83,Clothes and Shoes
"Robe, Silk, Mage’s",95,Auroras,83,Clothes and Shoes
"Robe, Fur Lining",75,Auroras,83,Clothes and Shoes
"Sash, Wool",0.1,Auroras,85,Clothes and Shoes
"Sash, Linen",0.2,Auroras,85,Clothes and Shoes
"Sash, Silk",10,Auroras,85,Clothes and Shoes
Scarf,0.1,Auroras,85,Clothes and Shoes
"Scarf, Printed",10,Auroras,85,Clothes and Shoes
"Muffler, Wool",0.1,Auroras,85,Clothes and Shoes
"Muffler, Linen",0.2,Auroras,85,Clothes and Shoes
"Surcoat, Linen",0.6,Auroras,85,Clothes and Shoes
"Surcoat, Quilted",2,Auroras,85,Clothes and Shoes
"Surcoat, Peltcote",20,Auroras,85,Clothes and Shoes
"Suspenders, Canvas",0.3,Auroras,85,Clothes and Shoes
"Suspenders, Leather",0.5,Auroras,85,Clothes and Shoes
Tabard,varies,Auroras,85,Clothes and Shoes
"Toga, Wool",0.8,Auroras,86,Clothes and Shoes
"Toga, Linen",0.3,Auroras,86,Clothes and Shoes
"Shoes, Dancing, Silk Slippers",0.15,Auroras,86,Clothes and Shoes
"Shoes, Dancing",35,Auroras,86,Clothes and Shoes
"Boots, Dwarf",45,Auroras,87,Clothes and Shoes
"Shoes, Elf",45,Auroras,87,Clothes and Shoes
"Boots, High, Hard",3,Auroras,87,Clothes and Shoes
"Boots, High, Soft",1,Auroras,87,Clothes and Shoes
"Boots, High, Sheepskin/Pelt",4,Auroras,87,Clothes and Shoes
"Boots, Hip",15,Auroras,87,Clothes and Shoes
"Boots, Low, Hard",2,Auroras,88,Clothes and Shoes
"Boots, Low, Soft",0.15,Auroras,88,Clothes and Shoes
"Boots, Low, Pelt",3,Auroras,88,Clothes and Shoes
Moccasins,2,Auroras,88,Clothes and Shoes
"Boots, Orc-Spiker",5,Auroras,88,Clothes and Shoes
"Boots, Riding",7,Auroras,88,Clothes and Shoes
Sandals,2,Auroras,88,Clothes and Shoes
"Slippers, Linen",0.15,Auroras,89,Clothes and Shoes
"Slippers, Quilted Silk",35,Auroras,89,Clothes and Shoes
"Slippers, Wool",0.1,Auroras,89,Clothes and Shoes
Snowshoes,20,Auroras,89,Clothes and Shoes
"Tabi, Wool",45,Auroras,89,Clothes and Shoes
"Tabi, Silk",100,Auroras,89,Clothes and Shoes
Broadbelt,6,Auroras,90,Boom’s Garden
"Bustenhalt, Leather",2,Auroras,90,Boom’s Garden
"Bustenhalt, Studded Leather",5,Auroras,90,Boom’s Garden
"Bustenhalt, Bear Fur",10,Auroras,90,Boom’s Garden
"Bustenhalt, Chain Mail",15,Auroras,90,Boom’s Garden
"Bustenhalt, Scale Mail",17,Auroras,90,Boom’s Garden
"Bustenhalt, Bronze Plate",25,Auroras,90,Boom’s Garden
"Bustenhalt, Iron",33,Auroras,90,Boom’s Garden
"Bustenhalt, Steel Plate",40,Auroras,90,Boom’s Garden
"Bustenhalt, Silver Plate",65,Auroras,90,Boom’s Garden
"Bustenhalt, Gold Plate",85,Auroras,90,Boom’s Garden
"Bustier, Bronze Plate",30,Auroras,90,Boom’s Garden
"Bustier, Iron Plate",40,Auroras,90,Boom’s Garden
"Bustier, Steel Plate",50,Auroras,90,Boom’s Garden
"Bustier, Silver Plate",75,Auroras,90,Boom’s Garden
"Bustier, Gold Plate",95,Auroras,90,Boom’s Garden
"Chemise, Leather",7,Auroras,91,Boom’s Garden
"Chemise, Chain Mail",45,Auroras,91,Boom’s Garden
"Chemise, Lace Mail",60,Auroras,91,Boom’s Garden
"Collar, Leather Spiked",10,Auroras,91,Boom’s Garden
"Corset, Leather",6,Auroras,91,Boom’s Garden
"Corset, Chain Mail",25,Auroras,91,Boom’s Garden
"Corset, Scale Mail",45,Auroras,91,Boom’s Garden
"Leggings, Full, Chain Mail",35,Auroras,92,Boom’s Garden
"Leggings, Partial, Chain Mail",33,Auroras,92,Boom’s Garden
"Loin Cloth, Stiff Leather",2,Auroras,92,Boom’s Garden
"Loin Cloth, Supple Leather",5,Auroras,92,Boom’s Garden
"Loin Cloth, Wolf Fur",9,Auroras,92,Boom’s Garden
"Loin Cloth, Bear Fur",12,Auroras,92,Boom’s Garden
"Loin Cloth, Chain Mail",20,Auroras,92,Boom’s Garden
"Loin Cloth, Scale Mail",23,Auroras,92,Boom’s Garden
"Loin Cloth, Plate Mail",35,Auroras,92,Boom’s Garden
"Loin Guard, Bronze",5,Auroras,92,Boom’s Garden
"Loin Guard, Iron",3,Auroras,92,Boom’s Garden
"Loin Guard, Steel",6,Auroras,92,Boom’s Garden
"Loin Guard, Silver",30,Auroras,92,Boom’s Garden
"Loin Guard, Gold",60,Auroras,92,Boom’s Garden
"Shoulder Plates, Bronze",3,Auroras,92,Boom’s Garden
"Shoulder Plates, Steel",5,Auroras,92,Boom’s Garden
"Shoulder Plates, Silver",20,Auroras,92,Boom’s Garden
"Shoulder Plates, Gold",40,Auroras,92,Boom’s Garden
"Skirt, Leather",10,Auroras,93,Boom’s Garden
"Skirt, Chain Mail",40,Auroras,93,Boom’s Garden
Spiked Footings,10,Auroras,93,Boom’s Garden
"Swimwear, Drow",15,Auroras,93,Boom’s Garden
Tailer,,Auroras,93,Boom’s Garden
"Necklace, Single Strand, Amber",45,Auroras,94,Jewelry
"Necklace, Double Strand, Amber",90,Auroras,94,Jewelry
"Earrings, Amber",50,Auroras,94,Jewelry
"Hair Comb, Single, Amber",25,Auroras,94,Jewelry
"Hair Comb, Pair, Amber",45,Auroras,94,Jewelry
Arm Bands,35,Auroras,94,Jewelry
"Beads, Glass, Bag (10+ varieties)",0.25,Auroras,94,Jewelry
"Necklace, Beads, Stone",40,Auroras,94,Jewelry
"Belt, Beads, Stone",40,Auroras,94,Jewelry
"Bracelet, Gold",25,Auroras,95,Jewelry
"Cuff, Gold",35,Auroras,95,Jewelry
"Bracelet, Silver",10,Auroras,95,Jewelry
"Cuff, Silver",20,Auroras,95,Jewelry
"Brooch, Silver",25,Auroras,95,Jewelry
"Brooch, Gold",45,Auroras,95,Jewelry
Gorget,50,Auroras,95,Jewelry
"Earrings, Gold Doves",35,Auroras,95,Jewelry
"Headband, Men’s",25,Auroras,95,Jewelry
"Headband, Women’s",40,Auroras,95,Jewelry
Locket,25,Auroras,96,Jewelry
Torc,50,Auroras,96,Jewelry
Pendant,45,Auroras,96,Jewelry
Fillet,60,Auroras,96,Jewelry
"Ring, Engraved",35,Auroras,96,Jewelry
"Box, Sandalwood",5,Auroras,97,Household Accoutrements
"Box, Silk",5,Auroras,97,Household Accoutrements
"Box, Lacquer",8,Auroras,97,Household Accoutrements
"Candles, Beeswax, 12",0.2,Auroras,97,Household Accoutrements
"Candles, Tallow, 12",0.1,Auroras,97,Household Accoutrements
"Door Knocker, Personalized",10,Auroras,97,Household Accoutrements
"Mirror, Wall, 3’",15,Auroras,98,Household Accoutrements
"Mirror, Wall, 5’",25,Auroras,98,Household Accoutrements
"Mirror, Hand",15,Auroras,98,Household Accoutrements
"Bell Pull, Ornamental",6,Auroras,98,Household Accoutrements
Statue,2,Auroras,98,Household Accoutrements
"Statue, 3",5,Auroras,98,Household Accoutrements
"Statue, 4",7,Auroras,98,Household Accoutrements
"Statue, 5",9,Auroras,98,Household Accoutrements
"Statue, Set",10,Auroras,98,Household Accoutrements
"Sundial, Cast Bronze",25,Auroras,98,Household Accoutrements
"Sundial, Carved Marble",35,Auroras,98,Household Accoutrements
Water Clock,20,Auroras,99,Household Accoutrements
Window Lace,75,Auroras,99,Household Accoutrements
Bath Oil,1,Auroras,100,Personal Supplies
"Brush/Comb, Gold",12,Auroras,100,Personal Supplies
"Brush/Comb, Silver",2,Auroras,100,Personal Supplies
"Brush/Comb, Tortoise Shell",1,Auroras,100,Personal Supplies
"Brush/Comb, Fine Hardwood",0.1,Auroras,100,Personal Supplies
"Handkerchief, Silk",0.5,Auroras,100,Personal Supplies
"Handkerchief, Soft Cotton",0.2,Auroras,100,Personal Supplies
"Handkerchief, Linen",0.2,Auroras,100,Personal Supplies
"Leather Strap, Shaving, 3’",0.1,Auroras,100,Personal Supplies
"Perfume, Vial, Simple",1,Auroras,100,Personal Supplies
"Perfume, Vial, Fine",3,Auroras,100,Personal Supplies
"Perfume, Vial, Very Fine",5,Auroras,100,Personal Supplies
"Perfume, Vial, Peerless",10,Auroras,100,Personal Supplies
"Face/Body Powder, 1 dry oz.",0.5,Auroras,100,Personal Supplies
Razor Kit,5,Auroras,100,Personal Supplies
Sachet,3,Auroras,101,Personal Supplies
"Snuff Box, Hardwood",3,Auroras,101,Personal Supplies
"Snuff Box, Steel",3,Auroras,101,Personal Supplies
"Snuff Box, Silver",7,Auroras,101,Personal Supplies
"Snuff Box, Gold",12,Auroras,101,Personal Supplies
"Soap, Lye",0.01,Auroras,101,Personal Supplies
"Soap, Mild",0.1,Auroras,101,Personal Supplies
"Soap, Scented",1,Auroras,101,Personal Supplies
"Scissors, Toe/Finger, Set",4,Auroras,101,Personal Supplies
"Towel, Linen Hand",0.2,Auroras,101,Personal Supplies
"Towel, Woolen Bath",0.5,Auroras,101,Personal Supplies
"Towel, Extra-Large Bath",1,Auroras,101,Personal Supplies
"Towel, Washcloth",0.1,Auroras,101,Personal Supplies
Wigs,1,Auroras,101,Personal Supplies
"Lamp, Calishite, Brass",1,Auroras,102,Illuminations
"Lamp, Calishite, Copper",5,Auroras,102,Illuminations
"Lamp, Calishite, Silver",15,Auroras,102,Illuminations
"Lamp, Calishite, Gold",50,Auroras,102,Illuminations
"Lamp, Chime",20,Auroras,102,Illuminations
"Lamp, Gnomish Firefly",0.9,Auroras,102,Illuminations
"Lamp, Hurricane, Brass",1,Auroras,103,Illuminations
"Lamp, Hurricane, Copper",4,Auroras,103,Illuminations
"Lamp, Hurricane, Silver",12,Auroras,103,Illuminations
"Lamp, Oil, Carved Onyx",0.9,Auroras,103,Illuminations
"Lamp, Oil, Worked Brass",0.5,Auroras,103,Illuminations
"Lamp, Oil, Glazed Pottery",0.1,Auroras,103,Illuminations
"Lamp, Warming",0.8,Auroras,103,Illuminations
"Lantern, Bullseye",12,Auroras,103,Illuminations
"Lantern, Fog-Cutter",15,Auroras,104,Illuminations
"Lantern, Hooded",7,Auroras,104,Illuminations
"Lantern, Infra",1700,Auroras,104,Illuminations
"Lantern,Self-Dousing",0.6,Auroras,105,Illuminations
"Lantern, Spelunker’s",20,Auroras,105,Illuminations
"Beeswax, 1 lb.",1,Auroras,105,Illuminations
"Beeswax, Colored, 1 lb.",1.1,Auroras,105,Illuminations
"Beeswax, Scented, 1 lb.",1.4,Auroras,106,Illuminations
"Brazier, Bronze",5,Auroras,106,Illuminations
Candle Molds,1.2,Auroras,106,Illuminations
Candle/Taper,0.01,Auroras,106,Illuminations
"Candlestick, Wood",0.4,Auroras,107,Illuminations
"Candlestick, Brass",0.6,Auroras,107,Illuminations
"Candlestick, Copper",0.8,Auroras,107,Illuminations
"Candlestick, Onyx",1,Auroras,107,Illuminations
"Candlestick, Pottery",0.3,Auroras,107,Illuminations
"Candlestick, Wrought Iron",3,Auroras,107,Illuminations
"Lamp Oil, 1 pint flask",0.06,Auroras,107,Illuminations
"Lamp Oil, Exotic Scented, 2 pint flask",0.4,Auroras,107,Illuminations
Tinderbox,1.5,Auroras,107,Illuminations
Flint and Steel,0.5,Auroras,107,Illuminations
Torch,0.01,Auroras,107,Illuminations
"Wick, Thin, 1 yard",0.01,Auroras,107,Illuminations
"Wick, Thick, 2 feet",0.01,Auroras,107,Illuminations
"Toy, Animal Model",1,Auroras,108,Diversions
"Ball, Leather, 2”",0.1,Auroras,108,Diversions
"Ball, Leather, 4”",0.2,Auroras,108,Diversions
"Ball, Leather, 12”",2,Auroras,108,Diversions
"Toy, Bow and Arrow Set",2,Auroras,108,Diversions
"Toy, Clockwork",2,Auroras,109,Diversions
"Toy, Clockwork, Set of 10",15,Auroras,109,Diversions
"Doll, Fabric",0.3,Auroras,109,Diversions
"Doll, Porcelain",2,Auroras,110,Diversions
Kaleidoscope,50,Auroras,110,Diversions
Marbles (20),2,Auroras,110,Diversions
"Dolls, Nesting",2,Auroras,110,Diversions
"Puppets, Various",2,Auroras,111,Diversions
"Puppets, Various, Set of 3",5,Auroras,111,Diversions
Rocking Mount,4,Auroras,111,Diversions
Tops,0.5,Auroras,112,Diversions
"Tops, Set of 5",2,Auroras,112,Diversions
"Chess Set, Traditional",20,Auroras,112,Diversions
"Chess Set, Avatar",15,Auroras,112,Diversions
"Chess Set, Horde",25,Auroras,112,Diversions
"Dice, 4d6",0.3,Auroras,113,Diversions
"Dice, Assorted Set",0.4,Auroras,113,Diversions
Draughts (Checkers),5,Auroras,113,Diversions
"Fighting Dolls, Set of 2",7,Auroras,113,Diversions
Old Men’s Bones Set,0.2,Auroras,114,Diversions
Dragon’s Bones Set,4,Auroras,114,Diversions
Table Dice (Backgammon),5,Auroras,114,Diversions
Talis Card Deck,0.3,Auroras,114,Diversions
"Foodstuffs, Provisions",varies,Auroras,115,Aurora’s Larder
"Blackbread, 4 loaves",1,Auroras,119,Breads
"Crackers, 3 dozen",0.5,Auroras,119,Breads
"Elven Bread, 1 loaf",2,Auroras,119,Breads
Fruitcake (in tin),10,Auroras,119,Breads
Gingerbread,1,Auroras,120,Breads
"Hard-Tack, 1 dozen",0.1,Auroras,120,Breads
"Noodles, Various, 1 lb.",15,Auroras,120,Breads
"Sourdough, 2 lbs. loaf",1.5,Auroras,121,Breads
"Tarts, Various, 1 dozen",1.5,Auroras,121,Breads
"Tortilla, 2 dozen",25,Auroras,121,Breads
"Arabellan Cheddar, 1 lb. wheel",0.4,Auroras,122,Cheese
"Arabellan Cheddar, 100 lb. whey",35,Auroras,122,Cheese
"Chessetan Lotus Cheese, 1 lb.",0.6,Auroras,122,Cheese
"Chessetan Lotus Cheese, 100 lb. whey",55,Auroras,122,Cheese
"Death Cheese, 1 lb. loaf",5,Auroras,122,Cheese
"Damarite Red, 1 lb. wheel",0.5,Auroras,122,Cheese
"Damarite Red, 100 lb. whey",20,Auroras,123,Cheese
"Elturian Grey, 1 lb. loaf",0.6,Auroras,123,Cheese
"Farmer’s Cheese, 1 lb. lot",0.3,Auroras,123,Cheese
"Green Calishite, 1/2 lb. loaf",0.4,Auroras,123,Cheese
"Luiren Spring Cheese, 1/2 loaf",40,Auroras,123,Cheese
"Mist Cheese, 1 lb. loaf",2,Auroras,124,Cheese
"Nut Cheese, 2 lbs. wheel",1,Auroras,124,Cheese
"Nut Cheese, 100 lb. whey",50,Auroras,124,Cheese
"Pepper Cheese, 1 lb. loaf",0.5,Auroras,124,Cheese
"Pepper Cheese, 100 lb. whey",45,Auroras,124,Cheese
"Turmish Brick, 1 lb loaf",0.4,Auroras,125,Cheese
"Turmish Brick, 100 lb. whey",35,Auroras,125,Cheese
"Vilhon Black, 1 lb loaf",0.6,Auroras,125,Cheese
"Waterdhavian Cheese, 1 lb. wheel",0.4,Auroras,125,Cheese
"Waterdhavian Cheese, 100 lb. whey",35,Auroras,125,Cheese
"Yak Butter, 1 lb.",0.4,Auroras,125,Cheese
"Yak Butter, 100 lb.",35,Auroras,125,Cheese
"Beer, Bitter Black, Barrel (30 gallons)",5,Auroras,127,Wines and Ales
"Beer, Dragon’s Breath Beer, Barrel",2,Auroras,127,Wines and Ales
"Beer, Elminster’s Choice, Barrel",2,Auroras,127,Wines and Ales
"Beer, Golden Sands Brew, Barrel",2.5,Auroras,127,Wines and Ales
"Beer, Iriaeboran North Brew, Barrel",1.2,Auroras,128,Wines and Ales
"Beer, Luiren’s Best, Barrel",5,Auroras,128,Wines and Ales
"Beer, Old One Eye, Barrel",3,Auroras,128,Wines and Ales
"Beer, Shadowdark Ale, Barrel",3.5,Auroras,128,Wines and Ales
"Beer, Suzale, Barrel",5,Auroras,128,Wines and Ales
"Beer, Tanagyr’s Stout, Barrel",6,Auroras,129,Wines and Ales
"Cider, Kneecracker, Barrel",1,Auroras,129,Wines and Ales
"Cider, Purple Hill, Barrel",5,Auroras,129,Wines and Ales
"Cider, Vilhon, Barrel",7,Auroras,129,Wines and Ales
"Wine, Arabellan Dry, Barrel",6,Auroras,129,Wines and Ales
"Wine, Berduskan Dark, Barrel",60,Auroras,129,Wines and Ales
"Wine, Blood, Barrel",10,Auroras,129,Wines and Ales
"Wine, Clarry, Barrel",5,Auroras,130,Wines and Ales
"Wine, Evermead, Bottle",30,Auroras,130,Wines and Ales
"Wine, Fire, Barrel",4.6,Auroras,130,Wines and Ales
"Wine, Mead, Barrel",20,Auroras,130,Wines and Ales
"Wine, Saerloonian Special Vat, Barrel",8,Auroras,130,Wines and Ales
"Wine, Saerloonian Glowfire, Barrel",7,Auroras,130,Wines and Ales
"Wine, Saerloonian Topaz, Barrel",5,Auroras,130,Wines and Ales
"Wine, Undermountain Alurlyath, Cask",8,Auroras,130,Wines and Ales
"Wine, Westgate Ruby, Barrel",3,Auroras,131,Wines and Ales
"Wine, Spiced, Barrel",5-7,Auroras,131,Wines and Ales
"Wine, Table, Barrel",2.5,Auroras,131,Wines and Ales
"Wine, Winter",8,Auroras,131,Wines and Ales
"Chilis, Whole, 1 lb.",100,Auroras,132,Exotics
"Chilis, Ground, 1 oz.",20,Auroras,132,Exotics
Cigars,10,Auroras,132,Exotics
"Cocoa, 1 lb.",100,Auroras,132,Exotics
"Coffee, 1 lb.",50,Auroras,132,Exotics
"Fagara, 1 lb.",100,Auroras,132,Exotics
"Garum, 1 gallon",10,Auroras,132,Exotics
"Ketjap, 1 pint",20,Auroras,133,Exotics
"Litchi Fruit, Dried, 1 lb.",50,Auroras,133,Exotics
"Litchi Fruit, Preserved, 1 pint",10,Auroras,133,Exotics
"Long Beans, Dried, 1 lb.",100,Auroras,133,Exotics
"Long Beans, Pickled, 1 quart",10,Auroras,133,Exotics
"Potato, Rootstock, 1 lb.",20,Auroras,133,Exotics
"Rice Candies, Assorted Flavors, 100",100,Auroras,133,Exotics
"Soya Sauce, 1 quart",15,Auroras,133,Exotics
"Tabacco, 1 lb.",100,Auroras,133,Exotics
"Tea, Pale Jade, 1 lb.",20,Auroras,134,Exotics
"Tea, Earth Dragon’s Eye, 1 lb.",50,Auroras,134,Exotics
"Tomato, 1 pint",10,Auroras,134,Exotics
Other Exotics,varies,Auroras,134,Exotics
"Bedroll, Cold Weather",20,Auroras,135,Wilderness Gear
"Bedroll, Warm Weather",17,Auroras,135,Wilderness Gear
"Canteen, 1 gallon",0.8,Auroras,135,Wilderness Gear
"Canteen, 3 gallon",2,Auroras,135,Wilderness Gear
"Canteen, Personal, 1/2 gallon",5,Auroras,135,Wilderness Gear
"Climbing, Ascenders",15,Auroras,135,Wilderness Gear
"Climbing, Carabiniers",10,Auroras,136,Wilderness Gear
"Climbing, Descenders",15,Auroras,136,Wilderness Gear
"Climbing, Harness",20,Auroras,136,Wilderness Gear
"Climbing, Ice Axe",10,Auroras,136,Wilderness Gear
"Climbing, Pulley",15,Auroras,136,Wilderness Gear
Firegate,3,Auroras,136,Wilderness Gear
Hammock,5,Auroras,136,Wilderness Gear
"Horns, Set of 5",4,Auroras,137,Wilderness Gear
"Insect Netting, 10’ x 20’",300,Auroras,137,Wilderness Gear
Mess Kit,8,Auroras,137,Wilderness Gear
"Poles, Telescoping, Set of 6",20,Auroras,137,Wilderness Gear
"Ration Packs, 1 week",10,Auroras,137,Wilderness Gear
"Repellents, Herbal, Candles, 1 dozen",3,Auroras,137,Wilderness Gear
"Repellents, Herbal, Flask (50 uses)",5,Auroras,137,Wilderness Gear
Rucksack,1,Auroras,138,Wilderness Gear
"Stakes, Set of 8",30,Auroras,138,Wilderness Gear
"Straps, Short, 1 dozen",0.7,Auroras,138,Wilderness Gear
"Straps, Medium, 1 dozen",1.2,Auroras,138,Wilderness Gear
"Straps, Large, 1 dozen",1,Auroras,138,Wilderness Gear
Strap Kit,2,Auroras,138,Wilderness Gear
Tent,8,Auroras,138,Wilderness Gear
"Tent, Six-Man",20,Auroras,138,Wilderness Gear
"Tinder & Flint, 1 dozen",3,Auroras,138,Wilderness Gear
Walking Stick,0.3,Auroras,138,Wilderness Gear
"Staff, Carved Ash",8,Auroras,138,Wilderness Gear
Silver & Gold Cane,varies,Auroras,138,Wilderness Gear
